id,equipment_id,tenant_id,computed_at,health_index,iso_score,trend_score,correlation_score,uptime_score,crest_factor,kurtosis,drms_dt,iso_grade,vel_rms_avg,vel_rms_max,predicted_days_to_service,predicted_failure_mode,operating_hours,operating_state,notes,created_at,hi_iso_component,hi_trend_component,hi_correlation_component,hi_uptime_component
2876,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-11-24,61.9,,,,,1.351,1.488,,C,9.459,,,,,RUNNING,,2026-04-02 09:56:16.576701,72.7,0,100,85.7
2877,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-11-25,61.5,,,,,1.275,1.518,,C,9.92,,,,,RUNNING,,2026-04-02 09:56:16.581979,71.3,0,100,86.4
2878,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-11-26,60.9,,,,,1.268,1.504,,C,9.855,,,,,RUNNING,,2026-04-02 09:56:16.587461,71.6,0,100,81.5
2879,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-11-27,30,,,,,,,,-,,,,,,PARTIAL,,2026-04-02 09:56:16.59274,,,,
2880,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-11-28,61.2,,,,,1.352,1.408,,C,9.635,,,,,RUNNING,,2026-04-02 09:56:25.930292,72.3,0,100,81.5
2881,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-11-29,88.4,,,,,1.965,3.019,,A,1.87,,,,,RUNNING,,2026-04-02 09:56:25.938429,100,56.4,100,95.4
2882,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-11-30,63.2,,,,,1.237,1.675,,C,9.819,,,,,RUNNING,,2026-04-02 09:56:25.946274,70.5,0,100,100
2883,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-01,62,,,,,1.327,1.475,,C,9.456,,,,,RUNNING,,2026-04-02 09:56:37.691154,72.6,0,100,86.4
2884,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-02,30,,,,,,,,-,,,,,,PARTIAL,,2026-04-02 09:56:37.696175,,,,
2885,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-03,30,,,,,,,,-,,,,,,PARTIAL,,2026-04-02 09:56:45.349593,,,,
2886,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-04,61.1,,,,,1.262,1.514,,C,9.435,,,,,RUNNING,,2026-04-02 09:56:57.40084,72.6,0,100,80.1
2887,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-05,30,,,,,,,,-,,,,,,PARTIAL,,2026-04-02 09:56:57.405722,,,,
2888,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-06,69.6,,,,,1.916,1.985,,B,6.111,,,,,RUNNING,,2026-04-02 09:57:07.000357,92.9,0,100,82.9
2889,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-07,86.3,,,,,2.379,2.924,,A,1.838,,,,,RUNNING,,2026-04-02 09:57:07.006354,100,53.6,100,85.7
2451,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-04-14,81.4,,,,,1.077,2.249,,C,9.804,,,,,RUNNING,,2026-04-02 07:07:49.212825,66.3,79.6,100,100
2441,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-04-11,94.4,,,,,1.79,1.323,,B,5.917,,,,,RUNNING,,2026-04-02 07:07:04.257438,93.1,100,100,80.8
2443,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-04-12,30,,,,,,,,-,,,,,,OFFLINE,,2026-04-02 07:07:04.265391,,,,
2434,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-04-09,89.8,,,,,1.151,3.267,,B,5.43,,,,,RUNNING,,2026-04-02 07:06:48.794109,84.8,83.7,100,100
2437,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-04-10,75.3,,,,,1.369,1.165,,B,5.492,,,,,RUNNING,,2026-04-02 07:06:48.818499,73.2,0,100,100
2446,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-04-13,30,,,,,,,,-,,,,,,PARTIAL,,2026-04-02 07:07:37.09609,,,,
2675,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-07-06,65.4,,,,,1.317,1.925,,B,7.741,,,,,RUNNING,,2026-04-02 07:31:18.297651,76,0,100,100
2455,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-04-15,88.6,,,,,1.252,1.219,,C,8.401,,,,,RUNNING,,2026-04-02 07:08:39.245609,71.5,100,100,100
2458,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-04-16,87.8,,,,,1.152,2.856,,B,6.027,,,,,RUNNING,,2026-04-02 07:09:05.93195,81.3,81.1,100,100
2460,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-04-17,90.8,,,,,1.335,5.188,,B,5.58,,,,,RUNNING,,2026-04-02 07:09:20.351651,84,98.5,88.1,100
2463,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-04-18,30,,,,,,,,-,,,,,,PARTIAL,,2026-04-02 07:09:30.145972,,,,
2466,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-04-19,30,,,,,,,,-,,,,,,OFFLINE,,2026-04-02 07:09:59.887752,,,,
2471,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-04-20,70.6,,,,,1.327,1.77,,B,4.336,,,,,RUNNING,,2026-04-02 07:10:13.442991,94.5,0,100,85
2890,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-08,65,,,,,1.38,1.123,,C,8.759,,,,,RUNNING,,2026-04-02 09:57:07.011887,74.9,0,100,100
2891,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-09,87.4,,,,,2.391,3.416,,A,1.562,,,,,RUNNING,,2026-04-02 09:57:15.679651,100,58,100,85.7
2892,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-10,87.1,,,,,1.762,1.393,,B,7.076,,,,,RUNNING,,2026-04-02 09:57:15.685021,87.9,77,100,84.3
2893,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-11,93.7,,,,,1.874,2.239,,A,2.19,,,,,RUNNING,,2026-04-02 09:57:15.690038,100,77.1,100,96.1
2894,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-12,98.3,,,,,2.037,3.925,,A,1.549,,,,,RUNNING,,2026-04-02 09:57:15.69491,100,93.3,100,100
2895,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2025-12-13,81.6,,,,,1,3,,A,1.472,,,,,RUNNING,,2026-04-02 09:57:15.698882,100,80,100,10.7
2978,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-03-06,74.4,,,,,1.365,1.218,,C,22.512,,,,,RUNNING,,2026-04-02 10:09:54.683663,40.5,100,100,87.8
2979,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-03-07,30,,,,,,,,-,,,,,,PARTIAL,,2026-04-02 10:09:54.691289,,,,
2980,73,b2c3d4e5-f6a7-8901-bcde-f12345678901,2026-03-08,48.8,,,,,1.254,1.813,,C,20.951,,,,,RUNNING,,2026-04-02 10:10:08.086514,40.9,0,100,82.9
